,0,1,2,3
0,Ederson,63000000.0,Goalkeeper,manchester-city
1,Claudio Bravo,2250000.0,Goalkeeper,manchester-city
2,Arijanet Muric,1800000.0,Goalkeeper,manchester-city
3,Daniel Grimshaw,0.0,Goalkeeper,manchester-city
4,Aymeric Laporte,67500000.0,Centre-Back,manchester-city
5,John Stones,54000000.0,Centre-Back,manchester-city
6,Nicolás Otamendi,22500000.0,Centre-Back,manchester-city
7,Eliaquim Mangala,9000000.0,Centre-Back,manchester-city
8,Vincent Kompany,7200000.0,Centre-Back,manchester-city
9,Philippe Sandler,2250000.0,Centre-Back,manchester-city
10,Pablo Marí,720000.0,Centre-Back,manchester-city
11,Erik Palmer-Brown,540000.0,Centre-Back,manchester-city
12,Eric García,0.0,Centre-Back,manchester-city
13,Cameron Humphreys,0.0,Centre-Back,manchester-city
14,Benjamin Mendy,31500000.0,Left-Back,manchester-city
15,Oleksandr Zinchenko,18000000.0,Left-Back,manchester-city
16,Kyle Walker,45000000.0,Right-Back,manchester-city
17,Danilo,18000000.0,Right-Back,manchester-city
18,Fernandinho,10800000.0,Defensive Midfield,manchester-city
19,Douglas Luiz,2250000.0,Defensive Midfield,manchester-city
20,Luke Brattan,450000.0,Defensive Midfield,manchester-city
21,Claudio Gomes,0.0,Defensive Midfield,manchester-city
22,Ilkay Gündogan,45000000.0,Central Midfield,manchester-city
23,Phil Foden,22500000.0,Central Midfield,manchester-city
24,Fabian Delph,13500000.0,Central Midfield,manchester-city
25,Aleix García,2700000.0,Central Midfield,manchester-city
26,Mix Diskerud,900000.0,Central Midfield,manchester-city
27,Anthony Cáceres,315000.0,Central Midfield,manchester-city
28,Adrián Bernabé,0.0,Central Midfield,manchester-city
29,Taylor Richards,0.0,Central Midfield,manchester-city
30,Luke Bolton,0.0,Right Midfield,manchester-city
31,Kevin De Bruyne,117000000.0,Attacking Midfield,manchester-city
32,Bernardo Silva,90000000.0,Attacking Midfield,manchester-city
33,David Silva,18000000.0,Attacking Midfield,manchester-city
34,Brahim Díaz,15300000.0,Attacking Midfield,manchester-city
35,Luka Ilic,900000.0,Attacking Midfield,manchester-city
36,Felix Nmecha,0.0,Attacking Midfield,manchester-city
37,Raheem Sterling,126000000.0,Left Winger,manchester-city
38,Leroy Sané,90000000.0,Left Winger,manchester-city
39,Jack Harrison,3600000.0,Left Winger,manchester-city
40,Riyad Mahrez,54000000.0,Right Winger,manchester-city
41,Patrick Roberts,4500000.0,Right Winger,manchester-city
42,Marlos Moreno,630000.0,Right Winger,manchester-city
43,Ian Poveda,0.0,Right Winger,manchester-city
44,Gabriel Jesus,63000000.0,Centre-Forward,manchester-city
45,Sergio Agüero,58500000.0,Centre-Forward,manchester-city
0,Kepa Arrizabalaga,54000000.0,Goalkeeper,fc-chelsea
1,Willy Caballero,900000.0,Goalkeeper,fc-chelsea
2,Eduardo,675000.0,Goalkeeper,fc-chelsea
3,Jamal Blackman,450000.0,Goalkeeper,fc-chelsea
4,Rob Green,225000.0,Goalkeeper,fc-chelsea
5,Jamie Cumming,0.0,Goalkeeper,fc-chelsea
6,Marcin Bulka,0.0,Goalkeeper,fc-chelsea
7,Antonio Rüdiger,45000000.0,Centre-Back,fc-chelsea
8,Andreas Christensen,27000000.0,Centre-Back,fc-chelsea
9,Kurt Zouma,22500000.0,Centre-Back,fc-chelsea
10,David Luiz,18000000.0,Centre-Back,fc-chelsea
11,Ethan Ampadu,9000000.0,Centre-Back,fc-chelsea
12,Gary Cahill,7200000.0,Centre-Back,fc-chelsea
13,Kenneth Omeruo,4500000.0,Centre-Back,fc-chelsea
14,Tomas Kalas,3600000.0,Centre-Back,fc-chelsea
15,Michael Hector,2700000.0,Centre-Back,fc-chelsea
16,Matt Miazga,2700000.0,Centre-Back,fc-chelsea
17,Marc Guehi,0.0,Centre-Back,fc-chelsea
18,Marcos Alonso,36000000.0,Left-Back,fc-chelsea
19,Emerson,13500000.0,Left-Back,fc-chelsea
20,Abdul-Rahman Baba,4500000.0,Left-Back,fc-chelsea
21,César Azpilicueta,31500000.0,Right-Back,fc-chelsea
22,Davide Zappacosta,13500000.0,Right-Back,fc-chelsea
23,Ola Aina,9000000.0,Right-Back,fc-chelsea
24,Todd Kane,900000.0,Right-Back,fc-chelsea
25,N'Golo Kanté,90000000.0,Defensive Midfield,fc-chelsea
26,Jorginho,58500000.0,Defensive Midfield,fc-chelsea
27,Tiemoué Bakayoko,31500000.0,Defensive Midfield,fc-chelsea
28,Mateo Kovacic,31500000.0,Central Midfield,fc-chelsea
29,Ross Barkley,27000000.0,Central Midfield,fc-chelsea
30,Ruben Loftus-Cheek,27000000.0,Central Midfield,fc-chelsea
31,Cesc Fàbregas,13500000.0,Central Midfield,fc-chelsea
32,Mario Pasalic,9000000.0,Central Midfield,fc-chelsea
33,Marco van Ginkel,9000000.0,Central Midfield,fc-chelsea
34,Danny Drinkwater,7200000.0,Central Midfield,fc-chelsea
35,Lewis Baker,3600000.0,Central Midfield,fc-chelsea
36,Conor Gallagher,0.0,Central Midfield,fc-chelsea
37,George McEachran,0.0,Central Midfield,fc-chelsea
