,0,1,2,3
0,Joe Hart,11700000.0,Goalkeeper,manchester-city
1,Claudio Bravo,7200000.0,Goalkeeper,manchester-city
2,Willy Caballero,1350000.0,Goalkeeper,manchester-city
3,Angus Gunn,225000.0,Goalkeeper,manchester-city
4,John Stones,31500000.0,Centre-Back,manchester-city
5,Nicolás Otamendi,27000000.0,Centre-Back,manchester-city
6,Vincent Kompany,19800000.0,Centre-Back,manchester-city
7,Eliaquim Mangala,13500000.0,Centre-Back,manchester-city
8,Jason Denayer,3600000.0,Centre-Back,manchester-city
9,Pablo Marí,360000.0,Centre-Back,manchester-city
10,Tosin Adarabioyo,225000.0,Centre-Back,manchester-city
11,Aleksandar Kolarov,9000000.0,Left-Back,manchester-city
12,Gaël Clichy,6300000.0,Left-Back,manchester-city
13,Oleksandr Zinchenko,4050000.0,Left-Back,manchester-city
14,Angeliño,450000.0,Left-Back,manchester-city
15,Jesús Navas,10800000.0,Right-Back,manchester-city
16,Pablo Zabaleta,6300000.0,Right-Back,manchester-city
17,Bacary Sagna,3600000.0,Right-Back,manchester-city
18,Pablo Maffeo,450000.0,Right-Back,manchester-city
19,Fernandinho,16200000.0,Defensive Midfield,manchester-city
20,Fernando Reges,9000000.0,Defensive Midfield,manchester-city
21,Bruno Zuculini,1080000.0,Defensive Midfield,manchester-city
22,Luke Brattan,540000.0,Defensive Midfield,manchester-city
23,Ilkay Gündogan,27000000.0,Central Midfield,manchester-city
24,Fabian Delph,7200000.0,Central Midfield,manchester-city
25,Yaya Touré,7200000.0,Central Midfield,manchester-city
26,Aaron Mooy,4500000.0,Central Midfield,manchester-city
27,Aleix García,900000.0,Central Midfield,manchester-city
28,Phil Foden,0.0,Central Midfield,manchester-city
29,Kevin De Bruyne,58500000.0,Attacking Midfield,manchester-city
30,David Silva,27000000.0,Attacking Midfield,manchester-city
31,Samir Nasri,14400000.0,Attacking Midfield,manchester-city
32,Brahim Díaz,0.0,Attacking Midfield,manchester-city
33,Raheem Sterling,40500000.0,Left Winger,manchester-city
34,Leroy Sané,31500000.0,Left Winger,manchester-city
35,Nolito,10800000.0,Left Winger,manchester-city
36,Patrick Roberts,6750000.0,Right Winger,manchester-city
37,Marlos Moreno,900000.0,Right Winger,manchester-city
38,Sergio Agüero,58500000.0,Centre-Forward,manchester-city
39,Gabriel Jesus,27000000.0,Centre-Forward,manchester-city
40,Wilfried Bony,16200000.0,Centre-Forward,manchester-city
41,Kelechi Iheanacho,13500000.0,Centre-Forward,manchester-city
42,Enes Ünal,9000000.0,Centre-Forward,manchester-city
43,Rubén Sobrino,450000.0,Centre-Forward,manchester-city
0,Thibaut Courtois,36000000.0,Goalkeeper,fc-chelsea
1,Asmir Begovic,7200000.0,Goalkeeper,fc-chelsea
2,Eduardo,1350000.0,Goalkeeper,fc-chelsea
3,Matej Delac,810000.0,Goalkeeper,fc-chelsea
4,Jamal Blackman,225000.0,Goalkeeper,fc-chelsea
5,David Luiz,27000000.0,Centre-Back,fc-chelsea
6,Andreas Christensen,16200000.0,Centre-Back,fc-chelsea
7,Gary Cahill,14400000.0,Centre-Back,fc-chelsea
8,Kurt Zouma,13500000.0,Centre-Back,fc-chelsea
9,Nathan Aké,7200000.0,Centre-Back,fc-chelsea
10,Branislav Ivanovic,4500000.0,Centre-Back,fc-chelsea
11,Tomas Kalas,3600000.0,Centre-Back,fc-chelsea
12,Michael Hector,2700000.0,Centre-Back,fc-chelsea
13,Kenneth Omeruo,1800000.0,Centre-Back,fc-chelsea
14,Matt Miazga,1800000.0,Centre-Back,fc-chelsea
15,John Terry,900000.0,Centre-Back,fc-chelsea
16,Marcos Alonso,22500000.0,Left-Back,fc-chelsea
17,Abdul-Rahman Baba,7200000.0,Left-Back,fc-chelsea
18,Cristian Cuevas,810000.0,Left-Back,fc-chelsea
19,César Azpilicueta,27000000.0,Right-Back,fc-chelsea
20,Juan Cuadrado,22500000.0,Right-Back,fc-chelsea
21,Todd Kane,1350000.0,Right-Back,fc-chelsea
22,Wallace Oliveira,900000.0,Right-Back,fc-chelsea
23,Ola Aina,900000.0,Right-Back,fc-chelsea
24,N'Golo Kanté,45000000.0,Defensive Midfield,fc-chelsea
25,Nemanja Matic,31500000.0,Defensive Midfield,fc-chelsea
26,Nathaniel Chalobah,4500000.0,Defensive Midfield,fc-chelsea
27,Cesc Fàbregas,31500000.0,Central Midfield,fc-chelsea
28,Mario Pasalic,7200000.0,Central Midfield,fc-chelsea
29,Marco van Ginkel,6750000.0,Central Midfield,fc-chelsea
30,Lewis Baker,4950000.0,Central Midfield,fc-chelsea
31,Ruben Loftus-Cheek,4500000.0,Central Midfield,fc-chelsea
32,Victorien Angban,900000.0,Central Midfield,fc-chelsea
33,Victor Moses,16200000.0,Right Midfield,fc-chelsea
34,Oscar,19800000.0,Attacking Midfield,fc-chelsea
35,Nathan,1130000.0,Attacking Midfield,fc-chelsea
36,Danilo Pantic,360000.0,Attacking Midfield,fc-chelsea
37,Eden Hazard,67500000.0,Left Winger,fc-chelsea
38,Kenedy,6300000.0,Left Winger,fc-chelsea
39,Christian Atsu,4500000.0,Left Winger,fc-chelsea
40,Jérémie Boga,2250000.0,Left Winger,fc-chelsea
41,Willian,28800000.0,Right Winger,fc-chelsea
42,Pedro,25200000.0,Right Winger,fc-chelsea
43,Bertrand Traoré,7200000.0,Right Winger,fc-chelsea
44,Lucas Piazon,2250000.0,Right Winger,fc-chelsea
45,Diego Costa,45000000.0,Centre-Forward,fc-chelsea
46,Michy Batshuayi,22500000.0,Centre-Forward,fc-chelsea
47,Loïc Rémy,8100000.0,Centre-Forward,fc-chelsea
48,Dominic Solanke,1800000.0,Centre-Forward,fc-chelsea
0,David de Gea,36000000.0,Goalkeeper,manchester-united
1,Sergio Romero,5400000.0,Goalkeeper,manchester-united
2,Sam Johnstone,900000.0,Goalkeeper,manchester-united
3,Joel Pereira,90000.0,Goalkeeper,manchester-united
4,Dean Henderson,90000.0,Goalkeeper,manchester-united
5,Kieran O'Hara,0.0,Goalkeeper,manchester-united
6,Eric Bailly,27000000.0,Centre-Back,manchester-united
7,Daley Blind,19800000.0,Centre-Back,manchester-united
8,Marcos Rojo,16200000.0,Centre-Back,manchester-united
9,Chris Smalling,16200000.0,Centre-Back,manchester-united
10,Phil Jones,12600000.0,Centre-Back,manchester-united
11,Axel Tuanzebe,900000.0,Centre-Back,manchester-united
12,Luke Shaw,18000000.0,Left-Back,manchester-united
13,Ashley Young,4500000.0,Left-Back,manchester-united
14,Cameron Borthwick-Jackson,2700000.0,Left-Back,manchester-united
15,Demetri Mitchell,0.0,Left-Back,manchester-united
16,Matteo Darmian,10800000.0,Right-Back,manchester-united
17,Antonio Valencia,9000000.0,Right-Back,manchester-united
18,Timothy Fosu-Mensah,2250000.0,Right-Back,manchester-united
19,Guillermo Varela,675000.0,Right-Back,manchester-united
20,Morgan Schneiderlin,19800000.0,Defensive Midfield,manchester-united
21,Michael Carrick,1350000.0,Defensive Midfield,manchester-united
22,Paul Pogba,67500000.0,Central Midfield,manchester-united
23,Ander Herrera,27000000.0,Central Midfield,manchester-united
24,Marouane Fellaini,10800000.0,Central Midfield,manchester-united
25,Bastian Schweinsteiger,4050000.0,Central Midfield,manchester-united
26,Matty Willock,0.0,Central Midfield,manchester-united
27,Scott McTominay,0.0,Central Midfield,manchester-united
28,Henrikh Mkhitaryan,31500000.0,Attacking Midfield,manchester-united
29,Juan Mata,27000000.0,Attacking Midfield,manchester-united
30,Jesse Lingard,10800000.0,Attacking Midfield,manchester-united
31,Andreas Pereira,4500000.0,Attacking Midfield,manchester-united
32,Josh Harrop,0.0,Attacking Midfield,manchester-united
33,Angel Gomes,0.0,Attacking Midfield,manchester-united
34,Marcus Rashford,16200000.0,Left Winger,manchester-united
35,Adnan Januzaj,6300000.0,Right Winger,manchester-united
36,Adnan Januzaj,6300000.0,Right Winger,manchester-united
37,Anthony Martial,27000000.0,Centre-Forward,manchester-united
38,Memphis Depay,17100000.0,Centre-Forward,manchester-united
39,Wayne Rooney,13500000.0,Centre-Forward,manchester-united
40,Zlatan Ibrahimovic,9000000.0,Centre-Forward,manchester-united
41,James Wilson,1800000.0,Centre-Forward,manchester-united
42,Zak Dearnley,0.0,Centre-Forward,manchester-united
0,Wojciech Szczesny,15300000.0,Goalkeeper,fc-arsenal
1,David Ospina,6300000.0,Goalkeeper,fc-arsenal
2,Petr Cech,6300000.0,Goalkeeper,fc-arsenal
3,Emiliano Martínez,900000.0,Goalkeeper,fc-arsenal
4,Matt Macey,450000.0,Goalkeeper,fc-arsenal
5,Shkodran Mustafi,27000000.0,Centre-Back,fc-arsenal
6,Laurent Koscielny,19800000.0,Centre-Back,fc-arsenal
7,Gabriel Paulista,11700000.0,Centre-Back,fc-arsenal
8,Rob Holding,6300000.0,Centre-Back,fc-arsenal
9,Per Mertesacker,5400000.0,Centre-Back,fc-arsenal
10,Nacho Monreal,11700000.0,Left-Back,fc-arsenal
11,Kieran Gibbs,9000000.0,Left-Back,fc-arsenal
12,Marc Bola,0.0,Left-Back,fc-arsenal
13,Héctor Bellerín,27000000.0,Right-Back,fc-arsenal
14,Calum Chambers,12600000.0,Right-Back,fc-arsenal
15,Carl Jenkinson,4500000.0,Right-Back,fc-arsenal
16,Mathieu Debuchy,3150000.0,Right-Back,fc-arsenal
17,Granit Xhaka,31500000.0,Defensive Midfield,fc-arsenal
18,Francis Coquelin,13500000.0,Defensive Midfield,fc-arsenal
19,Mohamed Elneny,9000000.0,Defensive Midfield,fc-arsenal
20,Krystian Bielik,1800000.0,Defensive Midfield,fc-arsenal
21,Ben Sheaf,0.0,Defensive Midfield,fc-arsenal
22,Josh Dasilva,0.0,Defensive Midfield,fc-arsenal
23,Aaron Ramsey,31500000.0,Central Midfield,fc-arsenal
24,Alex Oxlade-Chamberlain,19800000.0,Central Midfield,fc-arsenal
25,Jack Wilshere,16200000.0,Central Midfield,fc-arsenal
26,Santi Cazorla,10800000.0,Central Midfield,fc-arsenal
27,Gedion Zelalem,225000.0,Central Midfield,fc-arsenal
28,Ainsley Maitland-Niles,675000.0,Right Midfield,fc-arsenal
29,Mesut Özil,45000000.0,Attacking Midfield,fc-arsenal
30,Jeff Reine-Adélaïde,900000.0,Attacking Midfield,fc-arsenal
31,Alex Iwobi,9000000.0,Left Winger,fc-arsenal
32,Chris Willock,0.0,Left Winger,fc-arsenal
33,Stephy Mavididi,0.0,Left Winger,fc-arsenal
34,Theo Walcott,18000000.0,Right Winger,fc-arsenal
35,Joel Campbell,5400000.0,Right Winger,fc-arsenal
36,Alexis Sánchez,58500000.0,Centre-Forward,fc-arsenal
